epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.12794,0.9134,2.7225,1.06817,0.97148,0.51614,0.71693,0.55265,0.72039,3.31626,0.89484,0.00056,0.00056,0.00056
2,11.8144,0.78486,1.78529,1.01147,0.87862,0.32914,0.75874,0.64495,0.65944,3.32526,0.92272,0.00113812,0.00113812,0.00113812
3,17.6755,0.74176,1.5969,1.01709,0.03885,0.62121,0.0338,0.02484,0.88982,9.06433,1.13955,0.00171432,0.00171432,0.00171432
4,23.521,0.82521,1.517,1.07942,0.01656,0.33333,0.01323,0.009,0.97216,35.3614,1.45197,0.0019901,0.0019901,0.0019901
5,29.3213,0.81969,1.44891,1.08197,0.68893,0.83333,0.78228,0.61412,0.78428,2.30097,1.08982,0.0019868,0.0019868,0.0019868
6,35.086,0.75015,1.2561,1.03276,0.89349,0.92424,0.96494,0.78868,0.66105,1.42575,0.98068,0.0019835,0.0019835,0.0019835
7,40.923,0.73464,1.17847,1.01178,0.92576,0.94476,0.94827,0.80153,0.63479,1.26223,0.96153,0.0019802,0.0019802,0.0019802
8,46.7235,0.74037,1.05727,1.01438,0.89988,0.98485,0.97266,0.79684,0.62561,1.11501,1.0006,0.0019769,0.0019769,0.0019769
9,52.5191,0.71551,0.93154,1.02666,0.9448,0.98485,0.99202,0.8626,0.56009,1.61189,0.96216,0.0019736,0.0019736,0.0019736
10,58.2796,0.7004,0.95842,1.02335,0.98667,0.95455,0.99129,0.88663,0.50949,0.96593,0.93365,0.0019703,0.0019703,0.0019703
11,64.0797,0.77011,0.90574,1.05544,0.8719,0.82507,0.90301,0.78149,0.61472,1.55281,0.97553,0.001967,0.001967,0.001967
12,69.8824,0.66966,0.80344,0.96989,0.93488,1,0.98882,0.85598,0.55841,0.86037,0.9478,0.0019637,0.0019637,0.0019637
13,75.6604,0.72018,0.80811,1.03353,0.98563,0.98485,0.99346,0.86863,0.54747,0.72388,0.97521,0.0019604,0.0019604,0.0019604
14,81.4431,0.62802,0.76595,0.97414,0.95293,0.98485,0.98277,0.88691,0.57973,0.79259,0.97727,0.0019571,0.0019571,0.0019571
15,87.2226,0.66112,0.78034,1.01565,0.75393,0.9285,0.82978,0.65615,0.62661,1.52928,1.04572,0.0019538,0.0019538,0.0019538
16,93.0223,0.69026,0.73487,1.01671,0.88919,0.97266,0.97876,0.83895,0.59922,1.02521,0.99092,0.0019505,0.0019505,0.0019505
17,98.8081,0.68558,0.7153,1.03512,0.92941,0.99746,0.9747,0.85125,0.53272,0.68136,0.94911,0.0019472,0.0019472,0.0019472
18,104.61,0.6399,0.65676,0.97854,0.95634,0.99562,0.99153,0.88074,0.52031,0.60402,0.94851,0.0019439,0.0019439,0.0019439
19,110.38,0.62502,0.63522,0.9705,0.94847,0.9697,0.98828,0.86388,0.5506,0.60685,0.93601,0.0019406,0.0019406,0.0019406
