epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9056,4.18816,6.47031,5.34301,9e-05,0.00252,5e-05,1e-05,3.9376,5.84153,3.34209,0.00330864,0.00330864,0.00330864
2,51.6272,3.96458,6.00021,3.84052,0.00265,0.03546,0.00096,0.00041,nan,nan,nan,0.00663102,0.00663102,0.00663102
3,76.3175,3.5135,5.40309,2.76856,0.00561,0.02518,0.00215,0.00075,2.76924,9.30523,2.61158,0.00994239,0.00994239,0.00994239
4,100.069,2.70741,3.76549,2.12722,0.77816,0.0772,0.08323,0.02519,2.54551,6.32979,2.02701,0.0099505,0.0099505,0.0099505
5,123.987,2.18265,2.64497,1.80798,0.71796,0.33293,0.31726,0.15088,1.90161,2.28834,1.74963,0.009934,0.009934,0.009934
6,147.715,2.02528,2.16244,1.68894,0.69293,0.32772,0.32515,0.16057,1.77271,1.92561,1.65359,0.0099175,0.0099175,0.0099175
7,171.291,1.81043,1.79579,1.55819,0.71459,0.39212,0.44843,0.24096,1.50501,1.90047,1.41142,0.009901,0.009901,0.009901
8,194.571,1.71554,1.66319,1.4788,0.7634,0.41258,0.44692,0.25263,1.46345,1.3862,1.35246,0.0098845,0.0098845,0.0098845
9,218.336,1.60966,1.47957,1.41273,0.87474,0.43164,0.47091,0.27511,1.37877,1.342,1.29841,0.009868,0.009868,0.009868
10,241.877,1.55646,1.33416,1.35792,0.86572,0.45336,0.51688,0.3043,1.34507,1.15515,1.27326,0.0098515,0.0098515,0.0098515
11,265.601,1.48362,1.28992,1.31143,0.5787,0.51512,0.5201,0.30942,1.24325,1.13493,1.22232,0.009835,0.009835,0.009835
12,288.943,1.4284,1.22582,1.28871,0.65938,0.56075,0.58675,0.34667,1.29766,1.01804,1.23437,0.0098185,0.0098185,0.0098185
13,312.458,1.43542,1.1573,1.27033,0.71615,0.581,0.62353,0.38699,1.20539,0.95874,1.17422,0.009802,0.009802,0.009802
14,336.012,1.38009,1.10522,1.24974,0.78398,0.61384,0.66087,0.41176,1.2241,0.95122,1.1718,0.0097855,0.0097855,0.0097855
15,359.526,1.34896,1.07301,1.21714,0.83394,0.56159,0.66186,0.42382,1.13763,1.00427,1.14674,0.009769,0.009769,0.009769
16,383.059,1.3181,1.03601,1.19397,0.7457,0.60386,0.66364,0.422,1.16686,0.89099,1.16203,0.0097525,0.0097525,0.0097525
17,406.574,1.28931,1.01033,1.18935,0.68959,0.67424,0.68145,0.42139,1.11585,0.85003,1.12073,0.009736,0.009736,0.009736
18,430.08,1.26829,0.986,1.16503,0.84912,0.60991,0.67917,0.43417,1.14123,0.80975,1.12783,0.0097195,0.0097195,0.0097195
19,453.601,1.27449,0.95478,1.15689,0.74365,0.67973,0.71546,0.45958,1.09354,0.90651,1.09847,0.009703,0.009703,0.009703
20,477.2,1.24848,0.92698,1.13926,0.75061,0.68986,0.72299,0.46033,1.0708,0.80763,1.09379,0.0096865,0.0096865,0.0096865
21,500.808,1.21787,0.91883,1.14303,0.71869,0.6807,0.70578,0.46542,1.09503,0.90099,1.10352,0.00967,0.00967,0.00967
22,524.278,1.21572,0.90096,1.12929,0.86168,0.62673,0.70626,0.46174,1.05683,0.83512,1.08417,0.0096535,0.0096535,0.0096535
23,547.922,1.21448,0.89792,1.11859,0.81129,0.67732,0.73722,0.48117,1.04109,0.76922,1.07831,0.009637,0.009637,0.009637
24,571.756,1.22171,0.87913,1.12102,0.8349,0.66255,0.73212,0.47522,1.09118,0.95657,1.08065,0.0096205,0.0096205,0.0096205
25,595.363,1.20337,0.87403,1.11323,0.82945,0.71082,0.75867,0.47539,1.07079,0.74323,1.07881,0.009604,0.009604,0.009604
26,618.691,1.1667,0.8657,1.10559,0.83956,0.66184,0.75077,0.49736,1.04549,0.73795,1.06718,0.0095875,0.0095875,0.0095875
27,642.282,1.16457,0.81812,1.09308,0.82499,0.73107,0.76192,0.51454,1.01146,0.67109,1.04221,0.009571,0.009571,0.009571
28,665.712,1.12442,0.79645,1.06028,0.86843,0.70915,0.77774,0.50771,1.03895,0.72094,1.06677,0.0095545,0.0095545,0.0095545
29,689.054,1.11412,0.79477,1.07276,0.86938,0.6915,0.77579,0.52468,0.99795,0.69992,1.05134,0.009538,0.009538,0.009538
30,712.766,1.13248,0.81072,1.07933,0.813,0.70625,0.7584,0.50208,0.9756,0.67199,1.03757,0.0095215,0.0095215,0.0095215
31,736.286,1.11025,0.79465,1.07433,0.87654,0.65749,0.75211,0.49884,1.09237,0.75768,1.07927,0.009505,0.009505,0.009505
32,760.013,1.1047,0.77761,1.07257,0.82123,0.73232,0.7645,0.50254,1.03042,0.67483,1.0493,0.0094885,0.0094885,0.0094885
33,783.308,1.09184,0.76383,1.05606,0.90405,0.72261,0.80216,0.53565,0.97394,0.72355,1.0365,0.009472,0.009472,0.009472
34,806.705,1.10692,0.73484,1.04962,0.8649,0.71158,0.78535,0.54286,0.95873,0.62495,1.02913,0.0094555,0.0094555,0.0094555
35,830.201,1.12514,0.76964,1.06766,0.88915,0.75826,0.81755,0.55299,0.96457,0.64032,1.02524,0.009439,0.009439,0.009439
36,853.597,1.09537,0.74586,1.05344,0.86793,0.74422,0.80031,0.53308,0.96132,0.6606,1.02608,0.0094225,0.0094225,0.0094225
37,877.174,1.08591,0.75675,1.05427,0.82262,0.73844,0.77882,0.53809,0.94293,0.67628,1.02453,0.009406,0.009406,0.009406
38,901.095,1.04279,0.71331,1.04501,0.84981,0.73251,0.8068,0.55463,0.93441,0.62791,1.0137,0.0093895,0.0093895,0.0093895
39,924.612,1.06767,0.72839,1.04445,0.75511,0.75349,0.77063,0.52627,0.93347,0.66298,1.02001,0.009373,0.009373,0.009373
40,948.228,1.03625,0.7191,1.04354,0.88016,0.71732,0.79059,0.55095,0.92804,0.61805,1.01485,0.0093565,0.0093565,0.0093565
41,971.623,1.07188,0.73194,1.04089,0.91159,0.73602,0.81358,0.55794,0.95445,0.64001,1.02194,0.00934,0.00934,0.00934
42,995.217,1.02629,0.69167,1.02826,0.89009,0.73808,0.79538,0.56126,0.92043,0.60581,1.00836,0.0093235,0.0093235,0.0093235
43,1018.69,1.06064,0.71178,1.0395,0.85743,0.73424,0.80103,0.53033,0.95399,0.63898,1.01882,0.009307,0.009307,0.009307
44,1042.21,1.03332,0.69658,1.03135,0.88859,0.78024,0.83195,0.56925,0.9361,0.6142,1.01142,0.0092905,0.0092905,0.0092905
45,1065.61,1.04965,0.71449,1.03105,0.91036,0.76595,0.83413,0.57559,0.90806,0.60295,0.9928,0.009274,0.009274,0.009274
46,1089.74,1.01551,0.69327,1.028,0.89682,0.76274,0.82536,0.55416,0.94145,0.59772,1.01313,0.0092575,0.0092575,0.0092575
47,1113.37,1.02681,0.6842,1.01761,0.87594,0.73785,0.82671,0.56824,0.9349,0.65078,1.02066,0.009241,0.009241,0.009241
48,1136.75,1.044,0.68605,1.03478,0.91035,0.73699,0.80959,0.57107,0.90927,0.59212,0.99531,0.0092245,0.0092245,0.0092245
49,1160.14,1.02013,0.67725,1.02249,0.90105,0.7538,0.8256,0.5646,0.9219,0.5994,1.00384,0.009208,0.009208,0.009208
50,1183.53,1.0002,0.6695,1.02477,0.77711,0.73309,0.74788,0.51522,0.93162,0.63592,1.0106,0.0091915,0.0091915,0.0091915
51,1206.87,1.02941,0.67994,1.01371,0.89061,0.75006,0.82492,0.56203,0.92733,0.59627,1.00379,0.009175,0.009175,0.009175
52,1229.88,1.00213,0.67536,1.01451,0.89094,0.74475,0.8101,0.57034,0.89738,0.57594,0.9974,0.0091585,0.0091585,0.0091585
53,1253.13,1.00513,0.66179,1.00863,0.8774,0.75007,0.83004,0.57219,0.90221,0.55572,0.99209,0.009142,0.009142,0.009142
54,1276.62,1.0021,0.66332,1.016,0.84671,0.76736,0.79662,0.55741,0.92124,0.57308,0.999,0.0091255,0.0091255,0.0091255
55,1300.11,1.05468,0.68257,1.03614,0.89066,0.75783,0.80894,0.56861,0.91998,0.58602,1.01065,0.009109,0.009109,0.009109
56,1323.74,0.96891,0.64926,1.00976,0.88359,0.75568,0.81309,0.56439,0.9028,0.58331,0.98717,0.0090925,0.0090925,0.0090925
57,1347.36,1.00428,0.66111,1.01124,0.88299,0.80158,0.84286,0.57435,0.89176,0.55456,0.99216,0.009076,0.009076,0.009076
58,1370.78,0.97298,0.65824,1.00847,0.88279,0.78201,0.82019,0.56565,0.88892,0.56999,0.99358,0.0090595,0.0090595,0.0090595
59,1394.12,1.00494,0.68143,1.02052,0.84301,0.74527,0.80246,0.5756,0.88664,0.55848,0.98636,0.009043,0.009043,0.009043
60,1417.8,0.98945,0.66325,1.00919,0.92318,0.77337,0.84423,0.59375,0.88707,0.55818,0.99435,0.0090265,0.0090265,0.0090265
61,1441.12,0.98928,0.64757,1.01399,0.82542,0.78262,0.82422,0.57223,0.88675,0.5652,0.98605,0.00901,0.00901,0.00901
62,1464.9,0.99846,0.65839,1.0114,0.86909,0.7834,0.83622,0.59503,0.86707,0.5466,0.98623,0.0089935,0.0089935,0.0089935
63,1488.62,0.97302,0.63287,1.00185,0.90922,0.77465,0.83933,0.59045,0.8643,0.54231,0.98173,0.008977,0.008977,0.008977
64,1511.91,0.96,0.6291,0.99523,0.87688,0.78143,0.83196,0.58575,0.88846,0.56399,0.97995,0.0089605,0.0089605,0.0089605
65,1535.42,0.9757,0.6434,0.99967,0.83743,0.79026,0.83042,0.58322,0.90753,0.57619,0.99031,0.008944,0.008944,0.008944
66,1558.88,0.9784,0.62954,0.99564,0.86939,0.79874,0.84978,0.60274,0.89466,0.55792,0.98124,0.0089275,0.0089275,0.0089275
67,1582.12,0.97636,0.62879,0.98302,0.89283,0.77698,0.83697,0.58837,0.89834,0.54916,0.98878,0.008911,0.008911,0.008911
68,1605.42,0.95909,0.62552,0.99836,0.88704,0.80308,0.85069,0.60174,0.89385,0.53972,0.97969,0.0088945,0.0088945,0.0088945
69,1628.87,0.99388,0.63752,1.0016,0.89281,0.804,0.84945,0.60211,0.8991,0.54258,0.9799,0.008878,0.008878,0.008878
70,1652.14,0.99453,0.65834,1.00702,0.89277,0.81085,0.85778,0.60349,0.89684,0.54352,0.98193,0.0088615,0.0088615,0.0088615
71,1675.57,0.97624,0.63127,0.99299,0.90217,0.74838,0.8392,0.59377,0.88487,0.54159,0.98341,0.008845,0.008845,0.008845
72,1699,0.98926,0.62565,0.9916,0.87786,0.79327,0.84653,0.59224,0.88123,0.54211,0.97824,0.0088285,0.0088285,0.0088285
73,1722.37,0.95081,0.6185,0.9866,0.88988,0.78104,0.84926,0.60859,0.86743,0.5408,0.97243,0.008812,0.008812,0.008812
74,1745.86,0.98161,0.6217,0.98115,0.89924,0.76514,0.83841,0.60776,0.86894,0.53302,0.97172,0.0087955,0.0087955,0.0087955
75,1769.3,0.94713,0.61609,0.98573,0.87446,0.79732,0.8455,0.60826,0.87144,0.53349,0.97094,0.008779,0.008779,0.008779
76,1792.71,0.9762,0.62109,0.98972,0.90109,0.78027,0.85935,0.60559,0.87337,0.54072,0.97596,0.0087625,0.0087625,0.0087625
77,1816.12,0.9607,0.62319,1.00556,0.92361,0.78281,0.86422,0.61209,0.86919,0.52551,0.97437,0.008746,0.008746,0.008746
78,1839.46,0.9906,0.63329,0.99981,0.90025,0.77981,0.85966,0.60187,0.8928,0.54298,0.98,0.0087295,0.0087295,0.0087295
79,1862.91,0.93397,0.60344,0.97357,0.86442,0.81334,0.84706,0.60404,0.86263,0.52036,0.96849,0.008713,0.008713,0.008713
80,1885.92,0.93315,0.60191,0.97756,0.92984,0.80347,0.86496,0.60997,0.86707,0.52489,0.96776,0.0086965,0.0086965,0.0086965
81,1909.14,0.97467,0.61593,1.00921,0.81905,0.76498,0.83767,0.5992,0.8678,0.5394,0.97373,0.00868,0.00868,0.00868
82,1932.16,0.94793,0.61986,0.99618,0.91067,0.78615,0.85923,0.6163,0.86711,0.5144,0.9697,0.0086635,0.0086635,0.0086635
83,1955.44,0.95354,0.61282,0.97995,0.9146,0.78165,0.86096,0.61102,0.86752,0.52236,0.96413,0.008647,0.008647,0.008647
84,1979.53,0.94316,0.60074,0.97704,0.92723,0.76281,0.86619,0.61254,0.85839,0.53131,0.96769,0.0086305,0.0086305,0.0086305
85,2002.83,0.92706,0.5861,0.98039,0.90541,0.78869,0.86508,0.6192,0.83811,0.51048,0.96738,0.008614,0.008614,0.008614
86,2026.17,0.92069,0.58924,0.96707,0.88487,0.80097,0.85868,0.61741,0.85166,0.51651,0.96772,0.0085975,0.0085975,0.0085975
87,2049.15,0.93231,0.60678,0.97744,0.8579,0.81586,0.86101,0.62101,0.84617,0.51284,0.95939,0.008581,0.008581,0.008581
88,2072.3,0.93636,0.58835,0.96835,0.91088,0.80755,0.87373,0.6211,0.86337,0.52603,0.96655,0.0085645,0.0085645,0.0085645
